Customer_ID,Customer_Name,Customer_Segment,Region,City,Customer_Status,Acquisition_Channel
C0001,Customer 0001,Retail,North,Chandigarh,Active,Online
C0002,Customer 0002,SME,South,Hyderabad,Active,Relationship Manager
C0003,Customer 0003,Retail,Central,Nagpur,Inactive,Online
C0004,Customer 0004,Retail,North,Delhi,Active,Relationship Manager
C0005,Customer 0005,Retail,Central,Nagpur,Active,Relationship Manager
C0006,Customer 0006,Enterprise,Central,Bhopal,Inactive,Relationship Manager
C0007,Customer 0007,Retail,East,Kolkata,Inactive,Branch
C0008,  Customer 0008  ,SME,East,Kolkata,Active,Online
C0009,Customer 0009,Enterprise,North,Delhi,Active,Branch
C0010,Customer 0010,Corporate,Central,Bhopal,Inactive,Relationship Manager
C0011,Customer 0011,Enterprise,North,Delhi,Active,Relationship Manager
C0012,Customer 0012,Corporate,Central,Nagpur,Active,Relationship Manager
C0013,Customer 0013,Retail,North,Chandigarh,Active,Branch
C0014,Customer 0014,SME,North,Delhi,Inactive,Branch
C0015,Customer 0015,Corporate,West,Mumbai,Active,Branch
C0016,Customer 0016,Corporate,South,Hyderabad,Active,Relationship Manager
C0017,Customer 0017,SME,South,Bengaluru,Inactive,Branch
C0018,Customer 0018,SME,East,Guwahati,Active,Online
C0019,Customer 0019,Retail,South,Chennai,Inactive,Branch
C0020,Customer 0020,SME,North,mumbai,Active,Online
C0021,Customer 0021,Enterprise,West,Ahmedabad,Inactive,Online
C0022,Customer 0022,SME,East,Kolkata,Active,Relationship Manager
C0023,Customer 0023,Enterprise,Central,Nagpur,Inactive,Branch
C0024,Customer 0024,SME,South,Hyderabad,Inactive,Online
C0025,Customer 0025,Retail,North,Delhi,Active,Relationship Manager
C0026,Customer 0026,Retail,West,Pune,Inactive,Relationship Manager
C0027,Customer 0027,Corporate,West,Ahmedabad,Active,Relationship Manager
C0028,Customer 0028,Corporate,North,Chandigarh,Active,Online
C0029,Customer 0029,Enterprise,East,Kolkata,Inactive,Online
C0030,Customer 0030,SME,East,Guwahati,Active,Relationship Manager
C0031,Customer 0031,SME,East,Kolkata,Active,Online
C0032,Customer 0032,Retail,Central,Nagpur,Active,Branch
C0033,Customer 0033,Retail,North,Jaipur,Active,Online
C0034,Customer 0034,SME,North,Chandigarh,Active,Online
C0035,Customer 0035,Retail,West,Ahmedabad,Active,Online
C0036,Customer 0036,,West,Pune,Inactive,Online
C0037,Customer 0037,SME,Central,Nagpur,Active,Branch
C0038,Customer 0038,Enterprise,East,Guwahati,Inactive,Online
C0039,Customer 0039,SME,South,Bengaluru,Active,Online
C0040,Customer 0040,SME,Central,Nagpur,Active,Online
C0041,Customer 0041,Retail,North,Delhi,Active,Online
C0042,Customer 0042,Retail,East,Guwahati,Active,Branch
C0043,Customer 0043,SME,West,Ahmedabad,Active,Relationship Manager
C0044,Customer 0044,Enterprise,Central,Bhopal,Inactive,Branch
C0045,Customer 0045,Retail,South,Bengaluru,Inactive,Branch
C0046,Customer 0046,Enterprise,West,Pune,Active,Relationship Manager
C0047,Customer 0047,Retail,North,Jaipur,Active,Online
C0048,Customer 0048,SME,South,Bengaluru,Inactive,Online
C0049,Customer 0049,SME,West,Pune,Inactive,Online
C0050,Customer 0050,Enterprise,North,Chandigarh,Active,Online
